topic,x,y,topics,cluster,Freq
74,1.7678227,-3.3667622,1,1,2.2
77,-0.5569582,-0.104443856,2,1,1.9810116179185955
96,0.32668826,-2.8040109,3,1,1.345880520737599
58,1.3752935,-4.337661,4,1,1.2243816373437804
28,2.929214,2.029734,5,1,1.1747752503610922
71,-0.061518237,-0.60034615,6,1,1.1359606309058017
9,0.79738986,-1.9915,7,1,1.1304501857666356
192,1.3754215,-4.331313,8,1,1.0909894034126846
47,-3.9305785,-0.76750547,9,1,1.0450084355263602
121,-2.3459387,0.46524808,10,1,0.9875981903812878
143,1.5675714,3.139584,11,1,0.9785199377764535
128,2.6977806,0.6072432,12,1,0.9573940524548483
194,1.7465711,4.0107303,13,1,0.9246480463759676
147,2.1496298,-1.8002791,14,1,0.916247491891591
156,1.7898959,-2.5722878,15,1,0.8991698898517695
123,2.888385,-0.5103674,16,1,0.8948406281741963
34,-1.1899782,-3.3027177,17,1,0.8831736944966737
179,-2.2730813,0.29090977,18,1,0.8772715913121363
67,3.0006368,0.32170755,19,1,0.8531792291537927
50,-2.4982553,-0.9633148,20,1,0.8501107248765771
138,0.450939,-2.664089,21,1,0.8408253328661428
56,-2.1257255,2.7268836,22,1,0.839265888678691
55,-1.8648329,-3.0209377,23,1,0.8377029905600795
108,-1.0013419,-3.3892112,24,1,0.8361366154583454
130,-0.032272786,-0.14956552,25,1,0.8105818860021328
52,-1.4710541,-3.1565044,26,1,0.8073193916804102
37,-1.5476232,-3.303031,27,1,0.8023958094692236
173,-0.1450812,4.0768533,28,1,0.8007465404851055
17,-4.6727457,0.5396648,29,1,0.7957740864261877
141,2.4085922,-0.18721282,30,1,0.7957740864261877
35,-1.9645958,-1.974,31,1,0.794108282952114
19,-0.29847375,0.78682095,32,1,0.7924382675653951
83,-4.211078,-1.733661,33,1,0.7907640081546214
49,-1.6759967,2.8348734,34,1,0.782327897715182
86,-0.24621443,2.525103,35,1,0.782327897715182
144,0.6209687,-1.6497065,36,1,0.7806274763285477
126,1.0808275,-1.8831915,37,1,0.7789225742298445
166,-0.05092761,2.3557887,38,1,0.7789225742298445
122,1.4085728,0.11627783,39,1,0.7772131558104531
169,0.5171031,2.1438773,40,1,0.7772131558104531
82,-0.6618564,-0.90600264,41,1,0.773780625195468
189,-2.6398118,3.8841152,42,1,0.7720574393760984
25,1.7107095,-0.34169513,43,1,0.770329589970064
73,-3.1702862,-0.20168035,44,1,0.7668597475954095
106,0.6858178,0.39286205,45,1,0.7598623892437668
26,1.016979,-0.6913108,46,1,0.7581007988771715
187,1.7057949,3.7775507,47,1,0.7527859571656332
41,3.881743,-2.2045882,48,1,0.7492172375123776
40,-2.828269,3.6663606,49,1,0.7438250257491634
51,1.4395324,-0.8984607,50,1,0.7420170017120138
63,2.1035686,0.32549584,51,1,0.7402035885956795
191,-2.5855682,3.7780344,52,1,0.738384737922144
182,-1.486,-1.9274901,53,1,0.7328950647164858
7,0.64909285,4.88476,54,1,0.7310539641743266
85,-1.8425988,-0.2742782,55,1,0.7310539641743266
42,-2.3440378,0.19512221,56,1,0.7292071723996589
93,-3.2058012,-2.0297527,57,1,0.7292071723996589
11,-2.64428,-0.7721872,58,1,0.7254963018936575
30,-2.7918935,-2.765914,59,1,0.7254963018936575
91,3.5617783,-2.5314786,60,1,0.7254963018936575
149,-1.3492773,2.4884603,61,1,0.7254963018936575
81,1.6459619,-1.5763854,62,1,0.7236321144366544
89,-1.35575,-0.3648495,63,1,0.7236321144366544
180,-0.25931525,-2.2945166,64,1,0.7236321144366544
199,0.5205907,-2.1690638,65,1,0.7236321144366544
172,-0.9740612,2.3619583,66,1,0.7217620182586337
43,-1.0835019,2.1945386,67,1,0.7161157074048501
152,-1.742382,3.3457148,68,1,0.7161157074048501
23,-0.16960834,0.16722451,69,1,0.7123208953288489
66,-0.6892657,2.8946855,70,1,0.7123208953288489
8,1.1520388,3.755035,71,1,0.7104141269133755
196,-0.7197272,0.35622486,72,1,0.7104141269133755
1,0.69608915,4.897699,73,1,0.704655621250704
16,3.2265623,2.1542308,74,1,0.704655621250704
54,-3.26286,0.71532893,75,1,0.7027231711510533
120,-1.0758388,2.8106127,76,1,0.7027231711510533
124,-2.9943175,-2.573683,77,1,0.7027231711510533
6,0.26017627,2.9492004,78,1,0.7007841368371053
181,-2.1536884,2.2967687,79,1,0.6988384505457994
18,1.2038919,-1.0585269,80,1,0.6968860433437054
87,3.0078893,2.4324164,81,1,0.6968860433437054
158,-0.8036783,-0.1278593,82,1,0.6968860433437054
2,-1.2409339,3.070015,83,1,0.6929607844496977
94,0.049823605,-1.1936648,84,1,0.6850264458916718
193,0.92706066,-0.018732877,85,1,0.6850264458916718
114,-1.8194135,-0.26835147,86,1,0.6789999459109948
134,0.7650707,-2.4259393,87,1,0.6789999459109948
137,-1.3454891,1.8073997,88,1,0.6749450071993051
44,0.97258246,3.7673228,89,1,0.672906104464009
104,3.322562,-1.096691,90,1,0.672906104464009
10,-0.8252784,-1.4594096,91,1,0.6708594638739951
60,-0.8254109,0.13191137,92,1,0.6646722186525358
188,0.32369223,2.6675444,93,1,0.6605070252133114
116,1.3303182,-0.13117233,94,1,0.6584120317445629
76,-0.39761496,-1.7733766,95,1,0.6520762609258939
195,-2.7598145,-1.4327918,96,1,0.6520762609258939
21,0.4875612,-1.1964625,97,1,0.6478090442743585
72,0.21313868,0.8114471,98,1,0.6435061168290088
53,-4.49901,0.6780433,99,1,0.641340978121152
100,1.5779548,3.4073908,100,1,0.641340978121152
140,-3.185694,-2.3891742,101,1,0.641340978121152
167,-4.7617598,0.5226397,102,1,0.641340978121152
38,-0.6532864,3.3784678,103,1,0.6391665667433656
115,0.64979994,-0.76600087,104,1,0.6391665667433656
148,-3.1113803,2.3331256,105,1,0.6369827625286757
32,-2.6596298,-2.870308,106,1,0.6347894426920053
127,1.3141174,0.65872747,107,1,0.6347894426920053
133,-3.1837742,-0.17512812,108,1,0.6259184551876835
150,1.8159928,-0.6573184,109,1,0.6259184551876835
183,0.32870042,0.30724782,110,1,0.6259184551876835
155,-2.4474046,-1.674959,111,1,0.6236756180075504
119,1.0952834,-2.8782346,112,1,0.6214224687692185
168,-0.8713566,0.59719336,113,1,0.6191588639135159
129,0.374841,-3.5361345,114,1,0.6168846565191013
145,-1.1525813,1.4712516,115,1,0.6168846565191013
177,-3.1095576,-1.3122388,116,1,0.6145996961911813
190,1.1797702,-2.3548512,117,1,0.6145996961911813
154,-2.1885126,-4.100284,118,1,0.6123038289454468
186,-0.7645188,-3.9885569,119,1,0.6030080785327894
27,-2.4904733,-0.5575832,120,1,0.6006552325182032
46,0.506893,-0.74043345,121,1,0.6006552325182032
78,-3.0415142,0.69647837,122,1,0.6006552325182032
200,0.7379156,-2.1171038,123,1,0.5982904731307449
12,0.33998844,0.08198947,124,1,0.5935244782336071
48,1.7618833,1.4258838,125,1,0.5935244782336071
162,1.5435767,-0.7588406,126,1,0.5935244782336071
13,-1.5463003,2.1509373,127,1,0.5911228627388149
80,1.7520363,1.3761414,128,1,0.5911228627388149
118,-0.116669975,0.6293243,129,1,0.5911228627388149
69,-0.5564818,-3.410105,130,1,0.5887085735473259
90,-2.5838492,2.361646,131,1,0.5862814078728393
65,-1.1452177,-0.9924457,132,1,0.576439728849237
59,-0.038251195,2.6953244,133,1,0.5739449401274792
176,0.15860376,-1.8170035,134,1,0.5739449401274792
153,-2.7100308,2.8640192,135,1,0.5689124698732122
62,4.036355,-1.9813546,136,1,0.566374289545418
75,-0.3093743,3.8356407,137,1,0.566374289545418
185,2.0540044,3.6068766,138,1,0.566374289545418
132,-2.194677,-4.158642,139,1,0.5638211343126327
146,0.82709557,-1.059888,140,1,0.5638211343126327
111,-3.1564748,0.6525288,141,1,0.5612527359557574
142,-0.5258909,-0.5181572,142,1,0.5586688181518875
110,-0.44728118,-1.007349,143,1,0.5560690961273314
174,2.1081107,0.27537966,144,1,0.5534532762912922
178,2.4601989,-1.3150373,145,1,0.5508210558488759
107,-0.5377741,2.3654368,146,1,0.5481721223919848
161,-1.8547888,-3.0288613,147,1,0.5481721223919848
39,3.3511753,2.3150175,148,1,0.5455061534665289
97,-2.44377,2.6115434,149,1,0.5455061534665289
101,0.6681501,2.6425135,150,1,0.5455061534665289
139,0.6653972,1.0327135,151,1,0.5455061534665289
24,-0.45006055,-1.2699972,152,1,0.5428228161142596
36,3.6928704,2.13338,153,1,0.5428228161142596
92,-2.6978292,-1.420757,154,1,0.5346650959518362
57,-1.494226,-1.9493638,155,1,0.531908727608954
170,-2.8011322,3.8089566,156,1,0.531908727608954
125,-4.873763,-0.7079382,157,1,0.5263379571265394
198,-0.09963148,4.1357555,158,1,0.5263379571265394
20,0.74453366,5.0,159,1,0.5149523502146818
45,-0.99922204,3.925743,160,1,0.5120524290738624
113,-0.5296846,1.9206277,161,1,0.5091301137218733
164,-4.0567164,-1.6260314,162,1,0.5091301137218733
31,-1.6296867,4.229532,163,1,0.5032161715368875
184,0.8831408,1.1637603,164,1,0.5032161715368875
109,-4.737794,0.7298467,165,1,0.5002234265978258
98,-0.030763207,0.4627332,166,1,0.4941634195911725
84,3.2775316,1.6431257,167,1,0.4910948942983156
14,-2.3629436,0.69957334,168,1,0.48799980019950406
61,-0.12551542,1.2529999,169,1,0.48487743496827734
112,2.9579213,-0.12693098,170,1,0.48487743496827734
171,-1.070269,-1.268233,171,1,0.48172706477937693
105,1.6733934,-2.4286454,172,1,0.4785479222947577
117,2.324275,-0.17096059,173,1,0.4785479222947577
175,3.2634459,-0.05603538,174,1,0.4785479222947577
131,2.5429552,-2.7594512,175,1,0.4753392044809484
163,-0.8606237,-2.3133845,176,1,0.47210007024017103
15,-0.7366444,-3.7040956,177,1,0.4655269820871633
22,1.1807309,-1.6288525,178,1,0.45882106400554873
151,-0.81703746,-2.2533603,179,1,0.45882106400554873
99,2.0187814,-1.7054522,180,1,0.45541570514433116
29,0.35784227,-0.17813158,181,1,0.4449762398382052
103,-0.95838964,1.9659953,182,1,0.4449762398382052
159,-0.5759677,-3.5822294,183,1,0.4378176280951115
3,-2.9994464,-0.85925794,184,1,0.4341743903990315
165,3.3687747,2.0265317,185,1,0.4304864453818423
136,-1.4698261,0.5785402,186,1,0.42675210564715216
4,-1.9355278,-1.2447635,187,1,0.42296957490352904
5,-2.4190497,2.6930149,188,1,0.4191369378644566
33,1.3769814,-1.9864537,189,1,0.4191369378644566
102,0.70354205,-0.378193,190,1,0.4191369378644566
70,3.8696575,-2.4891806,191,1,0.41525214891095735
135,1.7208896,3.678715,192,1,0.41525214891095735
68,-1.1791521,-0.63624835,193,1,0.4073172028774249
79,3.3957691,-0.045022666,194,1,0.4073172028774249
64,3.488756,-2.5597332,195,1,0.39071364937628383
160,-1.217223,3.4480174,196,1,0.39071364937628383
197,0.26191872,-0.90897685,197,1,0.38639241061078744
88,0.26603866,-0.5516032,198,1,0.3775203616237139
95,-0.97906697,3.0628264,199,1,0.32137418410004126
157,-2.1821494,-3.664902,200,1,0.2
